Disease_name,Gene_name,Gene_ID,Tissue
Mismatch repair cancer syndrome 1,MLH1,ENSG00000076242,Blood and bone marrow
Bietti crystalline corneoretinal dystrophy,CYP4V2,ENSG00000145476,Blood and bone marrow
Chediak-Higashi syndrome,LYST,ENSG00000143669,Blood and bone marrow
?Diamond-Blackfan anemia 17,RPS27,ENSG00000177954,Blood and bone marrow
McLeod syndrome with or without chronic granulomatous disease,XK,ENSG00000047597,Blood and bone marrow
"Thrombophilia due to protein C deficiency, autosomal dominant",PROC,ENSG00000115718,Blood and bone marrow
Alpha-thalassemia/mental retardation syndrome,ATRX,ENSG00000085224,Blood and bone marrow
Leukocyte adhesion deficiency,ITGB2,ENSG00000160255,Blood and bone marrow
Wolman disease,LIPA,ENSG00000107798,Blood and bone marrow
Cholesteryl ester storage disease,LIPA,ENSG00000107798,Blood and bone marrow
"Dyskeratosis congenita, autosomal dominant 3",TINF2,ENSG00000092330,Blood and bone marrow
"Neutrophilic dermatosis, acute febrile",MEFV,ENSG00000103313,Blood and bone marrow
Galactosemia,GALT,ENSG00000213930,Blood and bone marrow
Peutz-Jeghers syndrome,STK11,ENSG00000118046,Blood and bone marrow
Monosomy 7 myelodysplasia and leukemia syndrome 1,SAMD9L,ENSG00000177409,Blood and bone marrow
"Congenital disorder of glycosylation, type Ia",PMM2,ENSG00000140650,Blood and bone marrow
"Niemann-Pick disease, type D",NPC1,ENSG00000141458,Blood and bone marrow
"Niemann-Pick disease, type C1",NPC1,ENSG00000141458,Blood and bone marrow
"Immunodeficiency, common variable, 12",NFKB1,ENSG00000109320,Blood and bone marrow
Short stature with microcephaly and distinctive facies,CRIPT,ENSG00000119878,Blood and bone marrow
"?Fanconi anemia, complementation group V",MAD2L2,ENSG00000116670,Blood and bone marrow
"Chronic granulomatous disease 4, autosomal recessive",CYBA,ENSG00000051523,Blood and bone marrow
"3-methylglutaconic aciduria, type VIII",HTRA2,ENSG00000115317,Blood and bone marrow
Immunodeficiency 71 with inflammatory disease and congenital thrombocytopenia,ARPC1B,ENSG00000130429,Blood and bone marrow
"Homocystinuria, cblD type, variant 1",MMADHC,ENSG00000168288,Blood and bone marrow
"Methylmalonic aciduria and homocystinuria, cblD type",MMADHC,ENSG00000168288,Blood and bone marrow
"Methylmalonic aciduria, cblD type, variant 2",MMADHC,ENSG00000168288,Blood and bone marrow
DEEAH syndrome,MADD,ENSG00000110514,Blood and bone marrow
Aicardi-Goutieres syndrome 4,RNASEH2A,ENSG00000104889,Blood and bone marrow
"Anemia, X-linked, with/without neutropenia and/or platelet abnormalities",GATA1,ENSG00000102145,Blood and bone marrow
"Thrombophilia due to protein C deficiency, autosomal recessive",PROC,ENSG00000115718,Blood and bone marrow
"Hemolytic anemia, CD59-mediated, with or without immune-mediated polyneuropathy",CD59,ENSG00000085063,Blood and bone marrow
"Osteopetrosis, autosomal recessive 7",TNFRSF11A,ENSG00000141655,Blood and bone marrow
"Candidiasis, familial, 2, autosomal recessive",CARD9,ENSG00000187796,Blood and bone marrow
"Chronic granulomatous disease 2, autosomal recessive",NCF2,ENSG00000116701,Blood and bone marrow
"Inflammatory bowel disease 28, early onset, autosomal recessive",IL10RA,ENSG00000110324,Blood and bone marrow
"Bleeding disorder, platelet-type, 8",P2RY12,ENSG00000169313,Blood and bone marrow
"Erythrocytosis, familial, 3",EGLN1,ENSG00000135766,Blood and bone marrow
Lymphoproliferative syndrome 2,CD27,ENSG00000139193,Blood and bone marrow
"Porphyria, acute hepatic",ALAD,ENSG00000148218,Blood and bone marrow
"{Lead poisoning, susceptibility to}",ALAD,ENSG00000148218,Blood and bone marrow
Immunodeficiency-centromeric instability-facial anomalies syndrome 1,DNMT3B,ENSG00000088305,Blood and bone marrow
"Immunodeficiency with hyper-IgM, type 3",CD40,ENSG00000101017,Blood and bone marrow
Immunodeficiency due to purine nucleoside phosphorylase deficiency,PNP,ENSG00000198805,Blood and bone marrow
"Fanconi anemia, complementation group D1",BRCA2,ENSG00000139618,Blood and bone marrow
Harderoporphyria,CPOX,ENSG00000080819,Blood and bone marrow
"Mitochondrial complex III deficiency, nuclear type 10",UQCRFS1,ENSG00000169021,Blood and bone marrow
"Erythrocytosis, familial, 2",VHL,ENSG00000134086,Blood and bone marrow
"Coenzyme Q10 deficiency, primary, 4",COQ8A,ENSG00000163050,Blood and bone marrow
"Coenzyme Q10 deficiency, primary, 4",COQ8A,ENSG00000163050,Blood and bone marrow
"Fanconi anemia, complementation group N",PALB2,ENSG00000083093,Blood and bone marrow
Megaloblastic anemia due to dihydrofolate reductase deficiency,DHFR,ENSG00000228716,Blood and bone marrow
Immunodeficiency 55,GINS1,ENSG00000101003,Blood and bone marrow
"Neutropenia, severe congenital, X-linked",WAS,ENSG00000015285,Blood and bone marrow
"Osteopetrosis, autosomal recessive 4",CLCN7,ENSG00000103249,Blood and bone marrow
"Hyper-IgE recurrent infection syndrome 4, autosomal recessive",IL6ST,ENSG00000134352,Blood and bone marrow
Immunodeficiency 60,BACH2,ENSG00000112182,Blood and bone marrow
?Diamond-Blackfan anemia 19,RPL35,ENSG00000136942,Blood and bone marrow
?Immunodeficiency 22,LCK,ENSG00000182866,Blood and bone marrow
"Dyskeratosis congenita, autosomal recessive 5",RTEL1,ENSG00000258366,Blood and bone marrow
"Dyskeratosis congenita, autosomal dominant 4",RTEL1,ENSG00000258366,Blood and bone marrow
Phosphoglycerate kinase 1 deficiency,PGK1,ENSG00000102144,Blood and bone marrow
"Bleeding disorder, platelet-type, 15",ACTN1,ENSG00000072110,Blood and bone marrow
Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency,GCLC,ENSG00000001084,Blood and bone marrow
Li-Fraumeni syndrome,CHEK2,ENSG00000183765,Blood and bone marrow
"Erythrocytosis, familial, 8",BPGM,ENSG00000172331,Blood and bone marrow
Immunodeficiency 23,PGM3,ENSG00000013375,Blood and bone marrow
"Kenny-Caffey syndrome, type 2",FAM111A,ENSG00000166801,Blood and bone marrow
"Leukocyte adhesion deficiency, type III",FERMT3,ENSG00000149781,Blood and bone marrow
"Hemochromatosis, type 4",SLC40A1,ENSG00000138449,Blood and bone marrow
"Severe combined immunodeficiency, X-linked",IL2RG,ENSG00000147168,Blood and bone marrow
"Osteopetrosis, autosomal recessive 1",TCIRG1,ENSG00000110719,Blood and bone marrow
"Severe combined immunodeficiency, T cell-negative, B-cell/natural killer-cell positive",PTPRC,ENSG00000081237,Blood and bone marrow
"Severe combined immunodeficiency, T-cell negative, B-cell/natural killer cell-positive type",IL7R,ENSG00000168685,Blood and bone marrow
Omenn syndrome,DCLRE1C,ENSG00000152457,Blood and bone marrow
Omenn syndrome,RAG1,ENSG00000166349,Blood and bone marrow
Omenn syndrome,RAG2,ENSG00000175097,Blood and bone marrow
"Hemophagocytic lymphohistiocytosis, familial, 2",PRF1,ENSG00000180644,Blood and bone marrow
"Hemophagocytic lymphohistiocytosis, familial, 4",STX11,ENSG00000135604,Blood and bone marrow
Immunodeficiency 24,CTPS1,ENSG00000171793,Blood and bone marrow
"Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay",TRNT1,ENSG00000072756,Blood and bone marrow
"?Hemolytic anemia, congenital, X-linked",ATP11C,ENSG00000101974,Blood and bone marrow
Diamond-Blackfan anemia 8,RPS7,ENSG00000171863,Blood and bone marrow
Hermansky-Pudlak syndrome 2,AP3B1,ENSG00000132842,Blood and bone marrow
"Pyogenic sterile arthritis, pyoderma gangrenosum, and acne",PSTPIP1,ENSG00000140368,Blood and bone marrow
"Immunodeficiency, common variable, 2",TNFRSF13B,ENSG00000240505,Blood and bone marrow
"Dyskeratosis congenita, X-linked",DKC1,ENSG00000130826,Blood and bone marrow
Hyper-IgD syndrome,MVK,ENSG00000110921,Blood and bone marrow
Immunodeficiency 46,TFRC,ENSG00000072274,Blood and bone marrow
"Gaucher disease, type IIIC",GBA,ENSG00000177628,Blood and bone marrow
"Bleeding disorder, platelet-type, 11",GP6,ENSG00000088053,Blood and bone marrow
"Bleeding disorder, platelet-type, 9",BDPLT9,,Blood and bone marrow
Hyperphosphatasia with mental retardation syndrome 3,PGAP2,ENSG00000148985,Blood and bone marrow
Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type),FBXL4,ENSG00000112234,Blood and bone marrow
Thrombocythemia 2,MPL,ENSG00000117400,Blood and bone marrow
Epidermolysis bullosa simplex with muscular dystrophy,PLEC,ENSG00000178209,Blood and bone marrow
"{Hemolytic uremic syndrome, atypical, susceptibility to, 1}",CFH,ENSG00000000971,Blood and bone marrow
"{Hemolytic uremic syndrome, atypical, susceptibility to}",CFHR3,ENSG00000116785,Blood and bone marrow
"{Hemolytic uremic syndrome, atypical, susceptibility to}",CFHR1,ENSG00000244414,Blood and bone marrow
"Lymphoproliferative syndrome, X-linked, 1",SH2D1A,ENSG00000183918,Blood and bone marrow
"Lymphoproliferative syndrome, X-linked, 1",SH2D1A,ENSG00000183918,Blood and bone marrow
"Niemann-Pick disease, type B",SMPD1,ENSG00000166311,Blood and bone marrow
"?Pulmonary fibrosis and/or bone marrow failure, telomere-related, 5",ZCCHC8,ENSG00000033030,Blood and bone marrow
"Bleeding disorder, platelet-type, 21",FLI1,ENSG00000151702,Blood and bone marrow
Noonan syndrome 6,NRAS,ENSG00000213281,Blood and bone marrow
"Gaucher disease, atypical",PSAP,ENSG00000197746,Blood and bone marrow
"Hemolytic anemia, G6PD deficient (favism)",G6PD,ENSG00000160211,Blood and bone marrow
Immunodeficiency 10,STIM1,ENSG00000167323,Blood and bone marrow
"?RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic",NRAS,ENSG00000213281,Blood and bone marrow
RAS-associated autoimmune leukoproliferative disorder,KRAS,ENSG00000133703,Blood and bone marrow
"?Anemia, hypochromic microcytic, with iron overload 2",STEAP3,ENSG00000115107,Blood and bone marrow
Ghosal hematodiaphyseal syndrome,TBXAS1,ENSG00000059377,Blood and bone marrow
"Vitamin K-dependent clotting factors, combined deficiency of, 1",GGCX,ENSG00000115486,Blood and bone marrow
Immunodeficiency 73B with defective neutrophil chemotaxis and lymphopenia,RAC2,ENSG00000128340,Blood and bone marrow
?Immunodeficiency 73C with defective neutrophil chemotaxis and hypogammaglobulinemia,RAC2,ENSG00000128340,Blood and bone marrow
Immunodeficiency 72 with autoinflammation,NCKAP1L,ENSG00000123338,Blood and bone marrow
Immunodeficiency 8,CORO1A,ENSG00000102879,Blood and bone marrow
"Myopathy, lactic acidosis, and sideroblastic anemia 1",PUS1,ENSG00000177192,Blood and bone marrow
Thrombophilia due to heparin cofactor II deficiency,SERPIND1,ENSG00000099937,Blood and bone marrow
Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,SMAD4,ENSG00000141646,Blood and bone marrow
Heinz body anemia,HBB,ENSG00000244734,Blood and bone marrow
Heinz body anemia,HBA2,ENSG00000188536,Blood and bone marrow
"Heinz body anemias, alpha-",HBA1,ENSG00000206172,Blood and bone marrow
Bone marrow failure syndrome 4,MYSM1,ENSG00000162601,Blood and bone marrow
Choreoacanthocytosis,VPS13A,ENSG00000197969,Blood and bone marrow
"Neutropenia, cyclic",ELANE,ENSG00000197561,Blood and bone marrow
{Systemic lupus erythematosus susceptibility to},PTPN22,ENSG00000134242,Blood and bone marrow
"{Lupus nephritis, susceptibility to}",FCGR2A,ENSG00000143226,Blood and bone marrow
"{Systemic lupus erythematosus, susceptibility to}",FCGR2B,ENSG00000072694,Blood and bone marrow
"{Systemic lupus erythematosus, susceptibility to}",CTLA4,ENSG00000163599,Blood and bone marrow
"{Systemic lupus erythematosus, susceptibility to}",TREX1,ENSG00000213689,Blood and bone marrow
"{Systemic lupus erythematosus, susceptibility to}",DNASE1,ENSG00000213918,Blood and bone marrow
Distal renal tubular acidosis 4 with hemolytic anemia,SLC4A1,ENSG00000004939,Blood and bone marrow
Scott syndrome,ANO6,ENSG00000177119,Blood and bone marrow
"Protoporphyria, erythropoietic, X-linked",ALAS2,ENSG00000158578,Blood and bone marrow
Hyperphosphatasia with mental retardation syndrome 6,PIGY,ENSG00000255072,Blood and bone marrow
Diamond-blackfan anemia 3,RPS24,ENSG00000138326,Blood and bone marrow
"Dyskeratosis congenita, autosomal recessive 1",NOP10,ENSG00000182117,Blood and bone marrow
"Fanconi anemia, complementation group E",FANCE,ENSG00000112039,Blood and bone marrow
"Spherocytosis, type 4",SLC4A1,ENSG00000004939,Blood and bone marrow
"Methylmalonic aciduria, vitamin B12-responsive, cblA type",MMAA,ENSG00000151611,Blood and bone marrow
?Bone marrow failure syndrome 6,MDM4,ENSG00000198625,Blood and bone marrow
"Thrombocytopenia, X-linked, with or without dyserythropoietic anemia",GATA1,ENSG00000102145,Blood and bone marrow
?Combined oxidative phosphorylation deficiency 34,MRPS7,ENSG00000125445,Blood and bone marrow
Immunodeficiency 41 with lymphoproliferation and autoimmunity,IL2RA,ENSG00000134460,Blood and bone marrow
Nijmegen breakage syndrome,NBN,ENSG00000104320,Blood and bone marrow
Diamond-Blackfan anemia 13,RPS29,ENSG00000213741,Blood and bone marrow
Myeloperoxidase deficiency,MPO,ENSG00000005381,Blood and bone marrow
"Hemoglobin H disease, deletional and nondeletional",HBA2,ENSG00000188536,Blood and bone marrow
"Hemoglobin H disease, nondeletional",HBA1,ENSG00000206172,Blood and bone marrow
von Hippel-Lindau syndrome,VHL,ENSG00000134086,Blood and bone marrow
"{von Hippel-Lindau syndrome, modifier of}",CCND1,ENSG00000110092,Blood and bone marrow
Bone marrow failure syndrome 5,TP53,ENSG00000141510,Blood and bone marrow
"Hyper-IgE recurrent infection syndrome, autosomal recessive",DOCK8,ENSG00000107099,Blood and bone marrow
"Combined immunodeficiency, X-linked, moderate",IL2RG,ENSG00000147168,Blood and bone marrow
"Anemia, sideroblastic, 4",HSPA9,ENSG00000113013,Blood and bone marrow
"Coenzyme Q10 deficiency, primary, 5",COQ9,ENSG00000088682,Blood and bone marrow
"Coenzyme Q10 deficiency, primary, 6",COQ6,ENSG00000119723,Blood and bone marrow
"Coenzyme Q10 deficiency, primary, 2",PDSS1,ENSG00000148459,Blood and bone marrow
"Coenzyme Q10 deficiency, primary, 3",PDSS2,ENSG00000164494,Blood and bone marrow
"Immunodeficiency, common variable, 13",IKZF1,ENSG00000185811,Blood and bone marrow
"{Myeloproliferative/lymphoproliferative neoplasms, familial (multiple types), susceptibility to}",DDX41,ENSG00000183258,Blood and bone marrow
Wiskott-Aldrich syndrome 2,WIPF1,ENSG00000115935,Blood and bone marrow
"Osteopetrosis, autosomal recessive 8",SNX10,ENSG00000086300,Blood and bone marrow
"Dyserythropoietic anemia, congenital, type Ia",CDAN1,ENSG00000140326,Blood and bone marrow
Lymphoproliferative syndrome 1,ITK,ENSG00000113263,Blood and bone marrow
"Methylmalonic aciduria and homocystinuria, cblF type",LMBRD1,ENSG00000168216,Blood and bone marrow
"Autoimmune disease, multisystem, infantile-onset, 2",ZAP70,ENSG00000115085,Blood and bone marrow
Mitochondrial DNA depletion syndrome 3 (hepatocerebral type),DGUOK,ENSG00000114956,Blood and bone marrow
"Anemia, sideroblastic, 3, pyridoxine-refractory",GLRX5,ENSG00000182512,Blood and bone marrow
"Hydrops, lactic acidosis, and sideroblastic anemia",LARS2,ENSG00000011376,Blood and bone marrow
Cryohydrocytosis,SLC4A1,ENSG00000004939,Blood and bone marrow
"Dyskeratosis congenita, autosomal recessive 2",NHP2,ENSG00000145912,Blood and bone marrow
Mosaic variegated aneuploidy syndrome 1,BUB1B,ENSG00000156970,Blood and bone marrow
"{Dyskeratosis congenita, autosomal recessive 4}",TERT,ENSG00000164362,Blood and bone marrow
"{Dyskeratosis congenita, autosomal dominant 2}",TERT,ENSG00000164362,Blood and bone marrow
"Dyskeratosis congenita, autosomal recessive 3",WRAP53,ENSG00000141499,Blood and bone marrow
"Neutropenia, severe congenital, 6, autosomal recessive",JAGN1,ENSG00000171135,Blood and bone marrow
Immunodeficiency 40,DOCK2,ENSG00000134516,Blood and bone marrow
"{Glioma, susceptibility to, somatic}",IDH1,ENSG00000138413,Blood and bone marrow
{Glioma susceptibility 1},TP53,ENSG00000141510,Blood and bone marrow
"Glioblastoma, somatic",ERBB2,ENSG00000141736,Blood and bone marrow
"Gaucher disease, type I",GBA,ENSG00000177628,Blood and bone marrow
"Anemia, hemolytic, Rh-null, regulator type",RHAG,ENSG00000112077,Blood and bone marrow
Dursun syndrome,G6PC3,ENSG00000141349,Blood and bone marrow
"Neutropenia, severe congenital 4, autosomal recessive",G6PC3,ENSG00000141349,Blood and bone marrow
"Adenosine deaminase deficiency, partial",ADA,ENSG00000196839,Blood and bone marrow
Severe combined immunodeficiency due to ADA deficiency,ADA,ENSG00000196839,Blood and bone marrow
"Erythrocytosis, familial, 4",EPAS1,ENSG00000116016,Blood and bone marrow
Pyridoxamine 5'-phosphate oxidase deficiency,PNPO,ENSG00000108439,Blood and bone marrow
"Congenital disorder of glycosylation, type IIk",TMEM165,ENSG00000134851,Blood and bone marrow
"Dyserythropoietic anemia, congenital, type Ib",CDIN1,ENSG00000186073,Blood and bone marrow
Isovaleric acidemia,IVD,ENSG00000128928,Blood and bone marrow
Trichohepatoenteric syndrome 1,TTC37,ENSG00000198677,Blood and bone marrow
Shwachman-Diamond syndrome,SBDS,ENSG00000126524,Blood and bone marrow
Transcobalamin II deficiency,TCN2,ENSG00000185339,Blood and bone marrow
Schimke immunoosseous dysplasia,SMARCAL1,ENSG00000138375,Blood and bone marrow
"Bleeding disorder, platelet-type, 16, autosomal dominant",ITGA2B,ENSG00000005961,Blood and bone marrow
"Bleeding disorder, platelet-type, 16, autosomal dominant",ITGB3,ENSG00000259207,Blood and bone marrow
Hemolytic anemia due to glutathione reductase deficiency,GSR,ENSG00000104687,Blood and bone marrow
Muckle-Wells syndrome,NLRP3,ENSG00000162711,Blood and bone marrow
Hermansky-Pudlak syndrome 1,HPS1,ENSG00000107521,Blood and bone marrow
Diamond-Blackfan anemia 10,RPS26,ENSG00000197728,Blood and bone marrow
Diamond-Blackfan anemia 1,RPS19,ENSG00000105372,Blood and bone marrow
Immunodeficiency 73A with defective neutrophil chemotaxix and leukocytosis,RAC2,ENSG00000128340,Blood and bone marrow
Cowden syndrome 1,PTEN,ENSG00000171862,Blood and bone marrow
Lhermitte-Duclos syndrome,PTEN,ENSG00000171862,Blood and bone marrow
